Tamaño,Hilos,T_Secuencial,T_Paralelo_Avg,T_Paralelo_Min,T_Paralelo_Max,Speedup,Eficiencia,Correcto
10,1,0.0000,0.0003,0.0000,0.0010,0.00,0.0,SI
10,2,0.0000,0.0007,0.0000,0.0010,0.00,0.0,SI
10,4,0.0000,0.0007,0.0000,0.0020,0.00,0.0,SI
10,8,0.0000,0.0007,0.0000,0.0010,0.00,0.0,SI
10,16,0.0000,0.0017,0.0010,0.0020,0.00,0.0,SI
100,1,0.0080,0.0067,0.0060,0.0080,1.20,120.0,SI
100,2,0.0050,0.0040,0.0030,0.0050,1.25,62.5,SI
100,4,0.0050,0.0030,0.0030,0.0030,1.67,41.7,SI
100,8,0.0050,0.0033,0.0030,0.0040,1.50,18.8,SI
100,16,0.0060,0.0033,0.0030,0.0040,1.80,11.2,SI
500,1,1.0250,0.8827,0.8550,0.9010,1.16,116.1,SI
500,2,0.6570,0.5540,0.5400,0.5690,1.19,59.3,SI
500,4,0.7160,0.3250,0.3230,0.3280,2.20,55.1,SI
500,8,0.6360,0.2340,0.2130,0.2510,2.72,34.0,SI
500,16,0.6270,0.2720,0.2270,0.3090,2.31,14.4,SI
1000,1,6.7540,8.2160,7.9950,8.4880,0.82,82.2,SI
1000,8,7.0030,2.4113,2.1940,2.6220,2.90,36.3,SI
